A3 DOWN, Green 20mW 2, 10-2 avg, 77k, Run     date: 10/3/2011 time:  2:09 PM
Wavelength	Lockin SR510	DMM Keithley 199 
11500.000000000000000	0.000001088999966	0.004618499893695
11492.500000000000000	0.000010094499885	0.004617599770427
11485.000000000000000	-0.000000541500015	0.004617999773473
11477.500000000000000	-0.000002762499889	0.004618399776518
11470.000000000000000	0.000004782999895	0.004617500118911
11462.500000000000000	0.000001442799999	0.004617199767381
11455.000000000000000	0.000000834999980	0.004617299884558
11447.500000000000000	-0.000000705999980	0.004617299884558
11440.000000000000000	0.000001482300036	0.004617800004780
11432.500000000000000	0.000006974999906	0.004617599770427
11425.000000000000000	0.000003247999985	0.004617599770427
11417.500000000000000	-0.000001798100016	0.004617400001734
11410.000000000000000	-0.000001238999971	0.004618300125003
11402.500000000000000	0.000004013999842	0.004617900121957
11395.000000000000000	0.000001221700018	0.004617999773473
11387.500000000000000	0.000000587999978	0.004616400226951
11380.000000000000000	0.000003292800102	0.004617900121957
11372.500000000000000	0.000003418200095	0.004617900121957
11365.000000000000000	0.000001532000056	0.004617800004780
11357.500000000000000	0.000002852199941	0.004618099890649
11350.000000000000000	0.000000018500000	0.004617500118911
11342.500000000000000	-0.000000057000001	0.004617999773473
11335.000000000000000	-0.000001399999974	0.004618399776518
11327.500000000000000	0.000005733999842	0.004617400001734
11320.000000000000000	0.000002112999937	0.004618300125003
11312.500000000000000	0.000002571500090	0.004617500118911
11305.000000000000000	0.000002337500064	0.004616499878466
11297.500000000000000	-0.000000418000013	0.004617900121957
11290.000000000000000	0.000006587500138	0.004616999998689
11282.500000000000000	-0.000000085000003	0.004617599770427
11275.000000000000000	0.000005729500117	0.004616899881512
11267.500000000000000	0.000004524999895	0.004616899881512
11260.000000000000000	-0.000006321000001	0.004616099875420
11252.500000000000000	0.000005737199899	0.004617699887604
11245.000000000000000	-0.000003511499926	0.004615799989551
11237.500000000000000	0.000002607099987	0.004616300109774
11230.000000000000000	0.000009606000276	0.004616199992597
11222.500000000000000	0.000001580999992	0.004616800229996
11215.000000000000000	0.000006803999895	0.004616700112820
11207.500000000000000	0.000003831999948	0.004616400226951
11200.000000000000000	0.000003164999953	0.004616099875420
11192.500000000000000	0.000005056499958	0.004616000223905
11185.000000000000000	0.000003559000106	0.004616499878466
11177.500000000000000	0.000002909099976	0.004616300109774
11170.000000000000000	0.000004901000011	0.004616400226951
11162.500000000000000	0.000017320999177	0.004616300109774
11155.000000000000000	0.000005049500032	0.004615500103682
11147.500000000000000	0.000002135499926	0.004614899866283
11140.000000000000000	0.000006851999842	0.004615100100636
11132.500000000000000	0.000008457999684	0.004614099860191
11125.000000000000000	0.000007902999641	0.004614899866283
11117.500000000000000	0.000011275000361	0.004614899866283
11110.000000000000000	0.000008717000128	0.004614999983460
11102.500000000000000	0.000008449000234	0.004615100100636
11095.000000000000000	0.000008987000001	0.004615299869329
11087.500000000000000	0.000003864499831	0.004614999983460
